pl_rade,pl_trandep,st_teff,pl_trandur,pl_orbper,st_rad,sy_dist,pl_bmasse,label_standardized,dataset_source
4.78,7958.7,5659.0,6.7904,83.92494032,0.509,264.78,12.0,CANDIDATE,KEPLER
6.96,6932.3,5659.0,4.2362,5.007316661,0.827,264.78,12.0,CONFIRMED,KEPLER
1.85,724.2,5659.0,1.6485,2.211116989,0.646,264.78,12.0,CONFIRMED,KEPLER
1.9,942.5,5659.0,3.95,27.9541337,0.646,264.78,12.0,CONFIRMED,KEPLER
2.57,252.1,5659.0,3.7727,12.69104387,1.626,264.78,12.0,CONFIRMED,KEPLER
10.95,12861.0,5659.0,3.8636,4.409409243,0.975,264.78,12.0,FALSE POSITIVE,KEPLER
4.14,2590.7,5659.0,4.0374,16.23947096,0.837,264.78,12.0,CONFIRMED,KEPLER
2.96,1328.5,5659.0,2.9785,6.308201629,0.837,264.78,12.0,CONFIRMED,KEPLER
13.12,14281.0,5659.0,2.0778,2.052349884,1.08,264.78,12.0,CONFIRMED,KEPLER
2.23,1897.8,5659.0,2.4517,9.7704486,0.509,264.78,12.0,CONFIRMED,KEPLER
1.66,1037.4,5659.0,2.153,5.169804269,0.509,264.78,12.0,CONFIRMED,KEPLER
2.48,366.0,5659.0,6.5093,21.22261195,1.302,264.78,12.0,CONFIRMED,KEPLER
2.25,1432.1,5659.0,4.154,20.09017037,0.509,264.78,12.0,CONFIRMED,KEPLER
1.16,807.6,5659.0,2.1764,7.11373257,0.411,264.78,12.0,CONFIRMED,KEPLER
0.91,509.2,5659.0,1.8177,3.306551643,0.411,264.78,12.0,CONFIRMED,KEPLER
1.11,756.1,5659.0,2.4714,15.36845737,0.411,264.78,12.0,CONFIRMED,KEPLER
4.56,1309.7,5659.0,3.048,13.81020318,1.142,264.78,12.0,CONFIRMED,KEPLER
2.85,538.6,5659.0,2.5833,4.093578461,0.999,264.78,12.0,CONFIRMED,KEPLER
3.43,685.4,5659.0,8.593,105.145959,0.999,264.78,12.0,CONFIRMED,KEPLER
2.34,1675.6,5659.0,2.9993,10.8484518,0.591,264.78,12.0,CONFIRMED,KEPLER
1.18,362.3,5659.0,1.915,6.66833241,0.591,264.78,12.0,CONFIRMED,KEPLER
10.55,17859.0,5659.0,3.23015,4.082274889,0.794,264.78,12.0,CONFIRMED,KEPLER
1.87,581.6,5659.0,3.1646,3.886655224,0.738,264.78,12.0,CANDIDATE,KEPLER
1.85,895.5,5659.0,5.083,42.1406089,0.646,264.78,12.0,CONFIRMED,KEPLER
1.62,575.8,5659.0,2.2618,4.617490562,0.646,264.78,12.0,CONFIRMED,KEPLER
1.75,634.1,5659.0,2.4283,10.19849255,0.646,264.78,12.0,CONFIRMED,KEPLER
4.33,1692.9,5659.0,3.2496,5.795063956,0.827,264.78,12.0,FALSE POSITIVE,KEPLER
2.47,867.0,5659.0,2.5882,7.15681552,0.838,264.78,12.0,CONFIRMED,KEPLER
2.43,763.3,5659.0,2.0873,17.64830851,0.838,264.78,12.0,CONFIRMED,KEPLER
1.08,175.2,5659.0,2.535,4.14810719,0.838,264.78,12.0,CONFIRMED,KEPLER
2.72,973.5,5659.0,4.1575,16.51410989,0.866,264.78,12.0,CONFIRMED,KEPLER
3.14,1015.8,5659.0,5.172,30.1329298,0.866,264.78,12.0,CONFIRMED,KEPLER
1.36,251.3,5659.0,2.603,4.79090809,0.866,264.78,12.0,CONFIRMED,KEPLER
3.09,363.4,5659.0,4.819,31.71981013,1.626,264.78,12.0,CONFIRMED,KEPLER
2.64,952.5,5659.0,4.448,99.6415962,0.866,264.78,12.0,CONFIRMED,KEPLER
10.6,7912.7,5659.0,3.16114,4.708326451,1.21,264.78,12.0,CONFIRMED,KEPLER
540.37,4147.6,5659.0,3.8449,16.37198661,0.592,264.78,12.0,FALSE POSITIVE,KEPLER
